A,Greedy (Time),Greedy (coin)
20,0.0,1
21,0.0,2
22,0.0,1
23,0.0,2
24,0.0,1
25,0.0,2
26,0.0,1
27,0.0,2
28,0.0,1
29,0.0,2
30,0.0,1
