A,Greedy (Time),Greedy (coin)
20,0.45,1
21,0.82,2
22,1.44,1
23,2.74,2
24,4.87,1
25,8.58,2
26,15.22,1
27,26.98,2
28,49.07,1
29,89.09,2
30,159.16,1
